azimuth,elevation,Channel
0,90,1
0,78.3,2
39,58.7,3
-39,58.7,4
0,58.3,5
15.4,40.8,6
-15.4,40.8,7
0,20.9,8
45,35.3,9
25.3,19,10
48.2,11.6,11
31.7,0,12
-45,35.3,13
-25.3,19,14
-48.2,11.6,15
-31.7,0,16
11.6,0,17
0,0,18
-11.6,0,19
0,-20.9,20
48.2,-11.6,21
25.3,-19,22
45,-35.3,23
15.4,-40.8,24
-48.2,-11.6,25
-25.3,-19,26
-15.4,-40.8,27
-45,-35.3,28
0,-41.8,29
-72.8,-46.9,30
-107.2,-46.9,31
-90,-31.7,32
-69.1,-23.8,33
-110.9,-23.8,34
-90,-11.6,35
-69.1,0,36
-90,0,37
-110.9,0,38
-90,11.6,39
-69.1,23.8,40
-110.9,23.8,41
-90,31.7,42
-72.8,46.9,43
-90,50.4,44
-107.2,46.9,45
-90,69.1,46
180,78.3,47
-141,58.7,48
180,58.3,49
-135,35.3,50
-164.6,40.8,51
164.6,40.8,52
141,58.7,53
135,35.3,54
154.7,19,55
131.8,11.6,56
-154.7,19,57
-131.8,11.6,58
-148.3,0,59
-131.8,-11.6,60
-168.4,0,61
-154.7,-19,62
-135,-35.3,63
180,20.9,64
-164.6,-40.8,65
180,0,66
180,-20.9,67
180,-41.8,68
168.4,0,69
148.3,0,70
154.7,-19,71
131.8,-11.6,72
164.6,-40.8,73
135,-35.3,74
107.2,-46.9,75
110.9,-23.8,76
90,-31.7,77
72.8,-46.9,78
69.1,-23.8,79
90,-11.6,80
110.9,0,81
90,0,82
69.1,0,83
90,11.6,84
110.9,23.8,85
69.1,23.8,86
90,31.7,87
107.2,46.9,88
90,50.4,89
72.8,46.9,90
90,69.1,91
